"","id","alpha","beta","ETRmax","Ek","ps"
"1","0",NA,NA,NA,NA,NA
"2","1",NA,NA,NA,NA,NA
"3","10",100,1.15812974556366,19.0664257065152,0.190664257065152,20.3119770013739
"4","20",100,10.5167216922413,56.9212665770645,0.569212665770645,80.5630441916482
"5","35",1.43499526364908,0,1000,696.86641157064,1000
"6","55",100,0,32.4999999372712,0.324999999372712,32.4999999372712
"7","80",1.06171158632284,0,1000,941.875376403707,1000
"8","110",2.66994222574631,0,60.8051344918706,22.7739514007178,60.8051344918706
"9","145",7.33862041252693,124.934855276451,20.9953851229119,2.86094442043535,1000
"10","185",2.54599467639895,0.000101301107703416,70.929731406865,27.8593400309806,70.961154767127
"11","230",56.1587744809237,232.311058518655,79.4955373581823,1.41554971761689,1000
"12","280",78.2302023986738,0.211898522208753,44.5750251434469,0.569793043820663,45.417510317038
"13","335",5.71971344545912,46.7902631551433,42.4033214933176,7.41353948893744,1000
"14","395",5.84770495688886,0,65.7050852373302,11.2360465724124,65.7050852373302
"15","460",5.01575132363739,0,65.805551931324,13.1197796073355,65.805551931324
