PAR,rETR,Colony,Treatment,Age
230,0,20,SD,8
280,0,20,SD,8
335,0,20,SD,8
0,0,21,SD,8
1,0.487,21,SD,8
10,4.01,21,SD,8
20,7.7,21,SD,8
35,12.215,21,SD,8
55,14.3,21,SD,8
80,15.2,21,SD,8
110,12.98,21,SD,8
145,13.34,21,SD,8
185,11.1,21,SD,8
230,0,21,SD,8
280,0,21,SD,8
335,0,21,SD,8
0,0,22,SD,8
1,0.479,22,SD,8
10,3.78,22,SD,8
20,8.06,22,SD,8
35,13.895,22,SD,8
55,17.545,22,SD,8
80,18.72,22,SD,8
110,17.71,22,SD,8
145,16.095,22,SD,8
185,15.725,22,SD,8
230,11.73,22,SD,8
280,14.56,22,SD,8
335,0,22,SD,8
0,0,23,SD,8
1,0.494,23,SD,8
10,3.92,23,SD,8
20,8.06,23,SD,8
35,13.475,23,SD,8
55,17.27,23,SD,8
80,19.44,23,SD,8
110,17.05,23,SD,8
145,15.37,23,SD,8
185,15.725,23,SD,8
230,0,23,SD,8
280,0,23,SD,8
335,0,23,SD,8
0,0,24,SD,8
1,0.511,24,SD,8
10,3.96,24,SD,8
20,8.04,24,SD,8
35,13.37,24,SD,8
55,16.94,24,SD,8
80,19.04,24,SD,8
110,18.48,24,SD,8
145,16.965,24,SD,8
185,14.06,24,SD,8
230,0,24,SD,8
280,0,24,SD,8
335,0,24,SD,8
0,0,25,SD,8
1,0.496,25,SD,8
10,4,25,SD,8
20,7.8,25,SD,8
35,13.195,25,SD,8
55,16.555,25,SD,8
80,17.04,25,SD,8
110,16.06,25,SD,8
145,14.355,25,SD,8
185,0,25,SD,8
230,0,25,SD,8
280,0,25,SD,8
335,0,25,SD,8
0,0,26,SD,8
1,0.506,26,SD,8
10,4.17,26,SD,8
20,8.04,26,SD,8
35,13.685,26,SD,8
55,17.545,26,SD,8
80,19.2,26,SD,8
110,18.7,26,SD,8
145,17.69,26,SD,8
185,12.765,26,SD,8
230,14.95,26,SD,8
280,0,26,SD,8
335,0,26,SD,8
0,0,27,SD,8
1,0.435,27,SD,8
10,3.38,27,SD,8
