,Depth,Date,Time,Temp,Light
189,Deep,22/03/2022,09:40,21.52,2109.8
190,Deep,22/03/2022,09:45,21.52,2238.9
191,Deep,22/03/2022,09:50,21.52,2282
192,Deep,22/03/2022,09:55,21.52,2325
193,Deep,22/03/2022,10:00,21.52,2368.1
194,Deep,22/03/2022,10:05,21.52,2325
195,Deep,22/03/2022,10:10,21.52,2454.2
196,Deep,22/03/2022,10:15,21.52,2454.2
197,Deep,22/03/2022,10:20,21.52,2540.3
198,Deep,22/03/2022,10:25,21.52,2497.2
199,Deep,22/03/2022,10:30,21.52,2540.3
200,Deep,22/03/2022,10:35,21.57,2583.4
201,Deep,22/03/2022,10:40,21.52,2583.4
202,Deep,22/03/2022,10:45,21.57,2583.4
203,Deep,22/03/2022,10:50,21.57,2540.3
204,Deep,22/03/2022,10:55,21.57,2626.5
205,Deep,22/03/2022,11:00,21.57,2626.5
206,Deep,22/03/2022,11:05,21.57,2540.3
207,Deep,22/03/2022,11:10,21.57,2540.3
208,Deep,22/03/2022,11:15,21.57,2540.3
209,Deep,22/03/2022,11:20,21.57,2497.2
210,Deep,22/03/2022,11:25,21.57,2583.4
211,Deep,22/03/2022,11:30,21.57,2626.4
212,Deep,22/03/2022,11:35,21.57,2454.2
213,Deep,22/03/2022,11:40,21.57,2368.1
214,Deep,22/03/2022,11:45,21.57,2411.1
215,Deep,22/03/2022,11:50,21.57,2368.1
216,Deep,22/03/2022,11:55,21.57,2325
217,Deep,22/03/2022,12:00,21.57,2368.1
218,Deep,22/03/2022,12:05,21.57,2238.9
219,Deep,22/03/2022,12:10,21.57,2282
220,Deep,22/03/2022,12:15,21.57,2152.8
221,Deep,22/03/2022,12:20,21.57,2066.7
222,Deep,22/03/2022,12:25,21.57,2066.7
223,Deep,22/03/2022,12:30,21.57,1980.6
224,Deep,22/03/2022,12:35,21.57,1980.6
225,Deep,22/03/2022,12:40,21.57,1980.6
226,Deep,22/03/2022,12:45,21.57,1808.4
227,Deep,22/03/2022,12:50,21.57,1808.4
228,Deep,22/03/2022,12:55,21.57,1808.4
229,Deep,22/03/2022,13:00,21.57,1636.1
230,Deep,22/03/2022,13:05,21.57,1593.1
231,Deep,22/03/2022,13:10,21.57,1507
232,Deep,22/03/2022,13:15,21.57,1490.8
233,Deep,22/03/2022,13:20,21.52,1469.3
234,Deep,22/03/2022,13:25,21.57,1415.5
235,Deep,22/03/2022,13:30,21.57,1324
236,Deep,22/03/2022,13:35,21.52,1254
237,Deep,22/03/2022,13:40,21.52,1254
238,Deep,22/03/2022,13:45,21.52,1189.4
239,Deep,22/03/2022,13:50,21.52,1135.6
240,Deep,22/03/2022,13:55,21.52,1108.7
241,Deep,22/03/2022,14:00,21.52,1081.8
242,Deep,22/03/2022,14:05,21.52,1017.2
243,Deep,22/03/2022,14:10,21.52,979.5
244,Deep,22/03/2022,14:15,21.52,920.3
245,Deep,22/03/2022,14:20,21.57,888
246,Deep,22/03/2022,14:25,21.52,855.8
247,Deep,22/03/2022,14:30,21.52,807.3
248,Deep,22/03/2022,14:35,21.52,775.1
249,Deep,22/03/2022,14:40,21.52,732
250,Deep,22/03/2022,14:45,21.52,699.7
251,Deep,22/03/2022,14:50,21.52,667.4
252,Deep,22/03/2022,14:55,21.52,629.7
253,Deep,22/03/2022,15:00,21.52,613.6
254,Deep,22/03/2022,15:05,21.52,586.7
255,Deep,22/03/2022,15:10,21.52,554.4
256,Deep,22/03/2022,15:15,21.52,527.5
257,Deep,22/03/2022,15:20,21.52,484.4
258,Deep,22/03/2022,15:25,21.52,462.9
259,Deep,22/03/2022,15:30,21.52,436
260,Deep,22/03/2022,15:35,21.52,409.1
261,Deep,22/03/2022,15:40,21.52,376.8
262,Deep,22/03/2022,15:45,21.52,349.9
263,Deep,22/03/2022,15:50,21.52,328.3
264,Deep,22/03/2022,15:55,21.52,306.8
265,Deep,22/03/2022,16:00,21.52,285.3
266,Deep,22/03/2022,16:05,21.47,269.1
267,Deep,22/03/2022,16:10,21.47,253
268,Deep,22/03/2022,16:15,21.47,231.4
269,Deep,22/03/2022,16:20,21.47,215.3
270,Deep,22/03/2022,16:25,21.47,199.1
271,Deep,22/03/2022,16:30,21.47,193.8
272,Deep,22/03/2022,16:35,21.47,177.7
273,Deep,22/03/2022,16:40,21.47,166.9
274,Deep,22/03/2022,16:45,21.47,145.4
275,Deep,22/03/2022,16:50,21.47,129.2
276,Deep,22/03/2022,16:55,21.47,113.1
277,Deep,22/03/2022,17:00,21.47,102.3
278,Deep,22/03/2022,17:05,21.47,86.1
279,Deep,22/03/2022,17:10,21.47,75.4
280,Deep,22/03/2022,17:15,21.47,64.6
281,Deep,22/03/2022,17:20,21.47,43.1
282,Deep,22/03/2022,17:25,21.47,37.7
283,Deep,22/03/2022,17:30,21.47,26.9
284,Deep,22/03/2022,17:35,21.47,16.2
285,Deep,22/03/2022,17:40,21.47,10.8
286,Deep,22/03/2022,17:45,21.47,0
287,Deep,22/03/2022,17:50,21.47,0
288,Deep,22/03/2022,17:55,21.43,0
289,Deep,22/03/2022,18:00,21.47,0
290,Deep,22/03/2022,18:05,21.47,0
291,Deep,22/03/2022,18:10,21.47,0
292,Deep,22/03/2022,18:15,21.43,0
293,Deep,22/03/2022,18:20,21.43,0
294,Deep,22/03/2022,18:25,21.47,0
295,Deep,22/03/2022,18:30,21.43,0
296,Deep,22/03/2022,18:35,21.43,0
297,Deep,22/03/2022,18:40,21.43,0
298,Deep,22/03/2022,18:45,21.43,0
299,Deep,22/03/2022,18:50,21.43,0
300,Deep,22/03/2022,18:55,21.43,0
301,Deep,22/03/2022,19:00,21.43,0
302,Deep,22/03/2022,19:05,21.43,0
303,Deep,22/03/2022,19:10,21.43,0
304,Deep,22/03/2022,19:15,21.43,0
305,Deep,22/03/2022,19:20,21.43,0
306,Deep,22/03/2022,19:25,21.43,0
307,Deep,22/03/2022,19:30,21.38,0
308,Deep,22/03/2022,19:35,21.38,0
309,Deep,22/03/2022,19:40,21.38,0
310,Deep,22/03/2022,19:45,21.38,0
311,Deep,22/03/2022,19:50,21.38,0
312,Deep,22/03/2022,19:55,21.38,0
313,Deep,22/03/2022,20:00,21.38,0
314,Deep,22/03/2022,20:05,21.43,0
315,Deep,22/03/2022,20:10,21.43,0
316,Deep,22/03/2022,20:15,21.43,0
317,Deep,22/03/2022,20:20,21.43,0
318,Deep,22/03/2022,20:25,21.43,0
319,Deep,22/03/2022,20:30,21.38,0
320,Deep,22/03/2022,20:35,21.38,0
321,Deep,22/03/2022,20:40,21.38,0
322,Deep,22/03/2022,20:45,21.43,0
323,Deep,22/03/2022,20:50,21.43,0
324,Deep,22/03/2022,20:55,21.43,0
325,Deep,22/03/2022,21:00,21.47,0
326,Deep,22/03/2022,21:05,21.43,0
327,Deep,22/03/2022,21:10,21.43,0
328,Deep,22/03/2022,21:15,21.43,0
329,Deep,22/03/2022,21:20,21.43,0
330,Deep,22/03/2022,21:25,21.43,0
331,Deep,22/03/2022,21:30,21.38,0
332,Deep,22/03/2022,21:35,21.38,0
333,Deep,22/03/2022,21:40,21.38,0
334,Deep,22/03/2022,21:45,21.38,0
335,Deep,22/03/2022,21:50,21.33,0
336,Deep,22/03/2022,21:55,21.33,0
337,Deep,22/03/2022,22:00,21.38,0
338,Deep,22/03/2022,22:05,21.43,0
339,Deep,22/03/2022,22:10,21.43,0
340,Deep,22/03/2022,22:15,21.43,0
341,Deep,22/03/2022,22:20,21.43,0
342,Deep,22/03/2022,22:25,21.43,0
343,Deep,22/03/2022,22:30,21.43,0
344,Deep,22/03/2022,22:35,21.43,0
345,Deep,22/03/2022,22:40,21.43,0
346,Deep,22/03/2022,22:45,21.43,0
347,Deep,22/03/2022,22:50,21.43,0
348,Deep,22/03/2022,22:55,21.43,0
349,Deep,22/03/2022,23:00,21.43,0
350,Deep,22/03/2022,23:05,21.43,0
351,Deep,22/03/2022,23:10,21.43,0
352,Deep,22/03/2022,23:15,21.43,0
353,Deep,22/03/2022,23:20,21.43,0
354,Deep,22/03/2022,23:25,21.43,0
355,Deep,22/03/2022,23:30,21.43,0
356,Deep,22/03/2022,23:35,21.43,0
357,Deep,22/03/2022,23:40,21.43,0
358,Deep,22/03/2022,23:45,21.43,0
359,Deep,22/03/2022,23:50,21.38,0
360,Deep,22/03/2022,23:55,21.38,0
361,Deep,23/03/2022,00:00,21.38,0
362,Deep,23/03/2022,00:05,21.38,0
363,Deep,23/03/2022,00:10,21.38,0
364,Deep,23/03/2022,00:15,21.38,0
365,Deep,23/03/2022,00:20,21.33,0
366,Deep,23/03/2022,00:25,21.38,0
367,Deep,23/03/2022,00:30,21.33,0
368,Deep,23/03/2022,00:35,21.33,0
369,Deep,23/03/2022,00:40,21.33,0
370,Deep,23/03/2022,00:45,21.33,0
371,Deep,23/03/2022,00:50,21.38,0
372,Deep,23/03/2022,00:55,21.43,0
